Q273076,"Wynton Marsalis",1961-10-18,None,"Contemporary",2022-06-11T12:10:10+00:00
Q13894,"Richard Strauss",1866-06-11,1949-09-08,"Modernism",2022-06-11T12:05:03+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-11T11:56:24+00:00
None,"Elis Regina &amp; Antônio Carlos Jobim",None,None,"None",2022-06-11T11:52:44+00:00
Q84114,"John Adams",1947-02-15,None,"Modernism",2022-06-11T11:49:12+00:00
Q185812,"Isaac Albéniz",1860-05-29,1909-05-18,"Romantic",2022-06-11T11:46:18+00:00
Q488603,"Scott Walker",1943-01-09T00:00:00Z,2019-03-22T00:00:00Z,"Contemporary",2022-06-11T11:42:44+00:00
Q255,"Ludwig van Beethoven",1770-12-16,1827-03-26,"Classical",2022-06-11T11:40:10+00:00
Q1282967,"Eddie Sauter",1914-12-02T00:00:00Z,1981-04-21T00:00:00Z,"Modernism",2022-06-11T11:36:23+00:00
Q203514,"Heitor Villa-Lobos",1887-03-05T00:00:00Z,1959-11-17T00:00:00Z,"Modernism",2022-06-11T11:33:19+00:00
Q923012,"Jacob do Bandolim",1918-02-14T00:00:00Z,1969-08-13T00:00:00Z,"Modernism",2022-06-11T11:31:44+00:00
Q186264,"Darius Milhaud",1892-09-04,1974-06-22,"Modernism",2022-06-11T11:31:11+00:00
Q255,"Ludwig van Beethoven",1770-12-16,1827-03-26,"Classical",2022-06-11T10:27:48+00:00
Q193338,"Danny Elfman",1953-05-29T00:00:00Z,None,"Contemporary",2022-06-11T10:20:26+00:00
Q75854,"Georg Philipp Telemann",1681-03-24,1767-06-25,"Baroque",2022-06-11T10:12:55+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-11T10:05:46+00:00
Q506627,"Johann David Heinichen",1683-04-17,1729-07-16,"Baroque",2022-06-11T09:57:07+00:00
Q57369,"Nicolaus Bruhns",1665-01-01,1697-04-08,"Baroque",2022-06-11T09:48:52+00:00
Q262791,"Steve Reich",1936-10-03,None,"Modernism",2022-06-11T09:39:12+00:00
Q7294,"Johannes Brahms",1833-05-07,1897-04-03,"Romantic",2022-06-11T09:31:26+00:00
Q53068,"Claudio Monteverdi",1567-05-15,1643-11-29,"Baroque",2022-06-11T09:24:59+00:00
Q80621,"Edvard Grieg",1843-06-15,1907-09-04,"Romantic",2022-06-11T09:17:29+00:00
Q59755918,"Anonymous",None,None,"None",2022-06-11T08:26:23+00:00
Q185812,"Isaac Albéniz",1860-05-29,1909-05-18,"Romantic",2022-06-11T08:21:17+00:00
Q505910,"John Ireland",1879-08-13,1962-05-12,"Modernism",2022-06-11T08:11:44+00:00
Q255,"Ludwig van Beethoven",1770-12-16,1827-03-26,"Classical",2022-06-11T08:03:31+00:00
Q59755918,"Anonymous",None,None,"None",2022-06-11T08:00:35+00:00
Q313374,"Emmanuel Chabrier",1841-01-18,1894-09-13,"Romantic",2022-06-11T07:54:36+00:00
Q1268,"Frédéric Chopin",1810-02-22,1849-10-17,"Romantic",2022-06-11T07:50:17+00:00
Q45105,"Oswald von Wolkenstein",1377-01-01,1445-08-11,"Renaissance",2022-06-11T07:45:10+00:00
Q4700,"Claude Debussy",1862-08-22,1918-03-25,"Romantic",2022-06-11T07:37:50+00:00
Q205139,"Carl Nielsen",1865-08-09,1931-10-03,"Romantic",2022-06-11T07:34:20+00:00
Q7298,"Antonín Dvořák",1841-09-08,1904-05-01,"Romantic",2022-06-11T07:31:17+00:00
Q5859820,"Trad Montana",1977-01-01T00:00:00Z,None,"Contemporary",2022-06-11T07:25:34+00:00
Q243837,"Ottorino Respighi",1879-06-09,1936-04-18,"Modernism",2022-06-11T07:21:12+00:00
Q106585056,"Mary Lattimore",None,None,"None",2022-06-11T07:17:57+00:00
