Samuel Coleridge-Taylor,1875-08-15T00:00:00Z,1912-09-01T00:00:00Z,None,Violin Concerto in G ... ,Tue Mar 29 07:38:35 +0000 2022
Henry Purcell,1659-09-10T00:00:00Z,1695-11-21T00:00:00Z,Baroque music,Music for a while from Oedipus ,Tue Mar 29 07:33:29 +0000 2022
Galina Vladimirovna Grigorʹeva,1962-12-02T00:00:00Z,None,None,Salve Regina ,Tue Mar 29 07:17:07 +0000 2022
Sergei Rachmaninoff,1873-04-01T00:00:00Z,1943-03-28T00:00:00Z,Romantic music,Symphonic Dances,Tue Mar 29 07:04:39 +0000 2022
Robert Schumann,1810-06-08T00:00:00Z,1856-07-29T00:00:00Z,None,Eintritt (Waldszenen,Tue Mar 29 06:58:35 +0000 2022
William Walton,1902-03-29T00:00:00Z,1983-03-08T00:00:00Z,None,Henry V (Touch her so... ,Tue Mar 29 06:53:35 +0000 2022
William Walton,1902-03-29T00:00:00Z,1983-03-08T00:00:00Z,None,Set me as a seal upon thine heart ,Tue Mar 29 06:50:18 +0000 2022
Dora Pejačević,1885-09-10T00:00:00Z,1923-03-05T00:00:00Z,None,Symphony in F sharp m... ,Tue Mar 29 06:22:16 +0000 2022
Felix Mendelssohn,1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,Romantic music,A Midsummer Night\'s Drea... ,Tue Mar 29 06:16:33 +0000 2022
Johann Wilhelm Hässler,1747-03-29T00:00:00Z,1822-03-29T00:00:00Z,None,Keyboard Sonata in C ... ,Tue Mar 29 06:04:48 +0000 2022
Johann Sebastian Bach,1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,Baroque music,Magnificat BWV 243a: ... ,Tue Mar 29 05:54:41 +0000 2022
Joseph Haydn,1732-03-31T00:00:00Z,1809-05-31T00:00:00Z,classicism,String Quartet in B flat major,Tue Mar 29 05:45:09 +0000 2022
Eric Coates,1886-08-27T00:00:00Z,1957-12-21T00:00:00Z,None,By the sleepy lagoon ,Tue Mar 29 05:40:13 +0000 2022
